iso_code,year,gdp_per_capita,hdd_annual,cdd_annual,electricity_consumption_gj
USA,2082,9815.967677608909,3349.979214087288,783.0558496234127,103.87838020282491
IND,2000,38861.73835093481,2470.2953727367394,2108.5317654620994,382.3739822072495
COL,2064,916.9201141953924,1226.4938913824062,3030.6620940859166,15.741431573457497
COL,2082,12506.78210863169,654.1067809751604,2829.704556020653,100.04837862531112
ETH,2060,1185.0145061100848,445.0927036719714,4015.8728067971956,24.81243888662846
CHN,2049,6595.711893590598,1083.931593572343,4263.24974975589,68.21308722589004
COL,2066,28895.578448564127,2160.532674918861,3176.3987534691432,56.31516533941538
NGA,1999,70815.56397551914,1912.8871156838095,3859.4059158825617,458.87488532383037
COL,2090,9112.504112038352,1264.6531805396933,3233.465291421702,30.1012356237106
MEX,2049,7766.915650456803,2535.5971055225646,522.1020983249754,82.96892595431132
ETH,2016,2220.231568484884,1960.5495031956082,4463.474667945393,26.03633410223192
CHN,2074,25920.48804103442,3341.0596490593657,3370.281750398099,196.87040198742812
MEX,2084,8963.126166334785,1106.770480436141,2290.6627032740475,81.1864001698075
IND,2043,6775.047124230618,1274.321689413603,565.1947424075797,54.3298860530187
BRA,2009,20225.02586392874,1139.0682456812306,3924.449500660596,193.330815627968
MEX,1985,3331.5232388081627,2187.3556633457792,2441.558706600343,25.965800279624712
MEX,1995,4054.0646017459158,317.95238591062997,2400.846410257328,28.27141629134035
BRA,1981,2796.4170090458874,1254.188298491056,4256.719246609644,39.49997078518602
ETH,2064,89978.32675542892,3496.919241869374,1452.0261679595287,509.19681269526615
CHN,2092,5125.2887134253815,3131.124415026928,3743.3279333359947,50.39586145607777
COL,2030,21444.933739672604,594.0356129775888,3427.882760678595,124.84436818357892
ETH,2087,79181.19157177463,344.94403315512307,2489.6910178523085,86.7446181729913
NGA,1978,19599.4258427383,2386.577425138002,565.9383005993678,117.90430456143628
USA,2094,135493.35892273346,1661.439542090464,1945.1015075115256,1207.7059685747415
ETH,2062,69269.38817993586,1981.3368523359813,3141.88066119421,430.8619409295816
MEX,2074,364.7117021710053,1928.7286565308582,1693.8212666775273,11.693971673038003
CHN,2091,28038.937432931772,1719.1848706870073,3666.6689803224276,46.746979340812985
ETH,1981,444.73678360823084,3357.764487440074,1304.1019125329324,9.158230967723426
ETH,1998,7246.914426026166,679.6342528606236,3402.1077106912767,51.2599428849723
COL,2056,4711.587249732194,955.7023937318629,3223.0333524425755,30.688673596914356
ETH,2090,1707.2709694842658,2073.3056308397163,497.850605135315,12.06812449258479
MEX,2002,5995.396786940341,2824.077952634105,3401.3953273094303,68.40555047907523
MEX,2092,66393.69551244844,3097.5120274422516,4248.418953603753,722.0826065220605
USA,2080,2941.364032033586,1772.2729899283888,3963.315529591268,38.08505403642136
MEX,2090,10890.571583877017,3000.2127372736527,705.4740120929592,37.448982755346684
COL,1994,881.2434718021559,204.90515588542146,2026.4522921452594,17.89933266577945
IND,2063,5515.136382478533,1889.7071732604888,3543.2402287325394,54.21068472109276
USA,2022,3404.3942803045456,712.7328643510061,3018.4696470615795,34.15810268882998
NGA,2061,18090.2410778122,1980.063375968429,4474.1999483324435,48.61333279785832
ETH,2035,3269.4716553529024,546.1685175187872,3334.5765983768742,34.739989290201805
NGA,2073,7469.576601080098,1360.6353854788206,1409.104401687661,44.8314932897493
USA,1996,10927.98000939371,2933.3195999420814,3777.358460904841,112.94203457159365
COL,2055,13362.982406555699,263.5745992281266,1168.7617121167077,45.27945573848959
USA,2068,14282.306246802353,1228.2538648648629,3394.573257820757,89.51184879716493
NGA,2093,98573.89343066986,2477.621141646685,1594.0222667234866,1055.7254838412791
ETH,2085,1232.5507427490375,1595.6660584830095,2782.6538295941336,21.2259924121314
CHN,2045,1598.6400998865195,1069.6349813266565,2687.8095958300796,26.090966794133564
NGA,2050,11419.115761054787,831.7817887600323,2019.5969971297245,128.41670494626356
ETH,2016,2575.369226966054,2929.979189306181,2761.8051399324017,28.410019546992324
CHN,2090,7274.005204379332,897.307113995713,2956.4312861705216,99.56825139860052
MEX,2075,11549.760192380298,2205.1377171737868,2616.633683713762,146.09101411709085
COL,1980,83206.889676565,631.5004521232842,3698.2668913440593,1056.1263517896314
ETH,1976,114299.90071194261,2600.6551049631003,853.9820321841215,1149.3736242744606
MEX,2035,4467.828357076027,2942.390474262323,3055.0476359017607,50.41036972757541
CHN,1983,5833.841425056791,3059.3143171395677,2111.129215209368,18.296632686367097
NGA,1993,15622.813281638184,2132.8794291465383,717.3106916627081,187.69291623909487
NGA,2041,11726.562792418896,1325.496754153693,1018.7915079507204,65.99047573932972
USA,2014,2834.4758742793088,2078.437217099423,4273.46817715753,42.5044018115387
NGA,2045,14624.1408369749,1778.525320223054,1642.5437690796311,93.75817933254798
BRA,2009,9093.747193755233,716.270477904559,2721.48592241322,70.14616651376714
BRA,1996,11519.468003723689,396.43743885733494,1894.0791766613322,144.17995193508693
MEX,2053,28992.45529090522,2051.3347735247357,3161.4637869140324,76.5232540933549
CHN,2091,2683.158046002021,3206.5155588226608,2858.1050447313482,38.38969835740747
CHN,2079,51595.03451400391,3079.577777712628,1775.5340162712228,120.2572469154175
MEX,2050,298793.97218784253,2229.7024150820357,4381.712246299315,829.6518764347254
CHN,2000,10421.796835805366,2641.090591283297,4399.906406849856,137.64193767328518
USA,2027,16157.682777866825,333.9421457745549,4139.050307241619,52.62012101975212
CHN,2068,5157.168240106619,2794.3823865259137,2561.0400747452954,35.91215396831268
BRA,1991,6838.328395451825,3194.111684635905,1652.2175263289291,17.732609608352824
BRA,1971,17096.895529575264,2759.5042002336536,1845.750145176345,165.20853052227602
MEX,1991,471.1580963117761,1392.6901654677285,1292.799721866594,9.943777072830404
NGA,2072,3448.5696218503726,2910.5801950006885,492.8416607892499,11.932341947368098
CHN,2084,9199.568304033422,2181.100837980435,2853.776082277456,71.5271447232305
CHN,2082,30359.593697897035,1189.998483761398,456.19322321981804,55.218691279182096
USA,2047,3458.832016447954,2556.458203877491,211.26125183440726,7.391166052270073
USA,2024,16061.691165547294,1859.5138739008955,4260.69423099811,118.28890232740773
BRA,2056,5112.482800388968,501.76837098167294,1746.8640304901173,15.844017212574656
